ATT_NAME_TH,ATT_NAME_EN,ATT_NEARBY_LOCATION,ATT_ADDRESS,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ATTR_CATAGORY_TH,ATTR_SUB_TYPE_TH,ATT_START_END,ATT_DETAIL_TH,ATT_LOCATION,LATITUDE_LOCATION,LONGITUDE_LOCATION
มุมลับภูผาแรด ,,อยู่ในพื้นที่อุทยานหินเขางู ,,ภาคกลาง,เกาะพลับพลา,เมืองราชบุรี,ราชบุรี,แหล่งท่องเที่ยวทางธรรมชาติ,จุดชมวิว,ตั้งแต่เวลา 08.00   17.00 น. ไม่แนะนำให้เข้าไปช่วงเย็นและกลางคืน,  มุมลับภูผาแรด  ในอดีตเป็นแหล่งสัมปทานระเบิดหินและย่อยหินภายในอุทยานหินเขางู ถูกซ่อนไว้ท่ามกลางหุบเขา ลักษณะเป็นหน้าผาหินสูงชันที่ถูกการระเบิดแล้วทิ้งร่องรอยความเว้าแหว่งรอยแตกของหิน เผยให้เห็นความสวยงามของลวดลายและสีของหน้าผาหินแกรนิต ซึ่งเป็นหินที่มีความแข็งแกร่งและทนทาน จนชาวบ้านเปรียบเปรยว่ามีความแข็งแกร่งเหมือนดัง  แรด  จึงเป็นที่มาของชื่อ  ภูผาแรด  ส่วนด้านหน้าของภูผาแรด เป็นบ่อน้ำลึกที่ขุดเจาะด้วย  หัวเจาะจัมโบ้  ตั้งแต่สมัยเป็นแหล่งสัมปทานแต่ยังคงมีหัวเจาะบางส่วนที่จมอยู่ใต้บ่อน้ำไม่สามารถนำขึ้นมาได้ เสน่ห์ของมุมลับที่ภูผาแรดอยู่ที่ความสวยงามที่แตกต่างกันในแต่ละช่วงเวลาของวัน ซึ่งขึ้นอยู่กับทิศทางของแสงแดดที่ส่องลงบริเวณหน้าผาแต่ละฝั่ง และกระทบกับผืนน้ำส่องแสงระยิบระยับคล้ายกับผลงานศิลปะที่ธรรมชาติได้รังสรรค์ไว้ ที่สำคัญยังได้ถูกคัดเลือกเข้าร่วมในกิจกรรมการโหวตแหล่งท่องเที่ยวทั่วไทยกับแคมเปญ  Unseen New Chapters : ปักหมุดมุมใหม่ เปิดไทยมุมต่าง  ของ การท่องเที่ยวแห่งประเทศไทย (ททท.) ,"13.57775, 99.77024999999999",13.57775,99.77025
ตลาดโคยกี๊ ราชบุรี,,ริมแม่น้ำแม่กลอง อยู่ติดกับตลาดสนามหญ้า แถวหอนาฬิกา ,,ภาคกลาง,หน้าเมือง,เมืองราชบุรี,ราชบุรี,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สวนสาธารณะ/สวนหย่อม,ตั้งแต่เวลาประมาณ 16.00 น.   22.00 น. ทุกวันศุกร์ เสาร์ และอาทิตย์,,"13.5402317, 99.8210558",13.5402317,99.8210558
เขื่อนแม่ประจันต์,Mae Prachan Dam,ต.หนองหญ้าปล้อง อ.หนองหญ้าปล้อง  จังหวัดเพชรบุรี,หมู่ที่5 บ้านจะโปรง,ภาคกลาง,,หนองหญ้าปล้อง,เพชรบุรี,แหล่งท่องเที่ยวทางธรรมชาติ,เขื่อน/อ่างเก็บน้ำ,"ทุกวัน 07.00 18.00 น.
","เขื่อนแม่ประจันต์ คือโครงการตามแนวพระราชดำริของ พระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (รัชกาลที่ 9) เกี่ยวกับการจัดการน้ำที่ทรงพระราชทานคำแนะนำให้แก่กรมชลประทาน ได้สร้างเขื่อนยาว 2100  เมตร  กว้าง  8  เมตร มีพื้นที่รับน้ำเหนือเขื่อนประมาณ  462  ไร่ เพื่อช่วยเหลือและบรรเทาอุทกภัยให้แก่เกษตกรชาวเพชรบุรีและจังหวัดใกล้เคียง กว่า 35,000  ไร่ อีกทั้งยังพัฒนาพื้นที่ให้กลายเป็นแหล่งเพาะพันธุ์สัตว์น้ำจืดขนาดใหญ่  และเป็นแหล่งท่องเที่ยวพักผ่อนของจังหวัดเพชรบุรี
","13.1917671, 99.6687539",13.1917671,99.6687539
หาดเจ้าสำราญ,Chaow Sumran Beach,ตั้งอยู่ที่ตำบลหาดเจ้าชำราญ อำเมืองเพชรบุรี อยู่ห่างจากตลาดเมืองเพชรบุรี 15 กิโลเมตร ,,ภาคกลาง,,เมืองเพชรบุรี,เพชรบุรี,แหล่งท่องเที่ยวทางธรรมชาติ,อ่าว/หาดทราย/ชายทะเล,"ทุกวัน 24 ชั่วโมง
",หาดเจ้าสำราญ ตั้งอยู่ห่างจากตัวเมืองเพชรบุรี ประมาณ 15 กิโลเมตร เป็นชายหาดที่เคยเป็นสถานที่ท่องเที่ยวสำคัญมาแต่สมัยโบราณ มีประวัติเล่ากันมาว่า สมเด็จพระนเรศวรมหาราช เคยเสด็จมาที่นี่ พร้อมด้วยสมเด็จพระเอกาทศรถ ทรงพอพระชหฤทัยในความงามของหาดนี้มาก ทรงประทับแรมอยู่หลายวัน จนชาวบ้านเรียกหาดนี้ว่า หาดจ้าวสำราญ,"13.0051448, 100.0656849",13.0051448,100.0656849
โครงการอัมพวา ชัยพัฒนานุรักษ์,Amphawa Chai Pattananurak Project,ใกล้ตลาดน้ำอัมพวา ตำบลอัมพวา อำเภออัมพวา,185 191,ภาคกลาง,,อัมพวา,สมุทรสงคราม,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,โครงการหลวง/โครงการพระราชดำริ,"วันจันทร์ วันพฤหัสบดี 08.30 16.30 น.
วันศุกร์ 08.30 19.00 น.
วันเสาร์   อาทิตย์ 08.30 21.00 น.","ตั้งอยู่ที่ตำบลอัมพวา ใกล้ตลาดน้ำอัมพวา เป็นโครงการที่สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี  มีพระราชดำริให้สำนักงานมูลนิธิชัยพัฒนานำที่ดินที่คุณประยงค์ นาคะวะรังค์ ชาว อัมพวา ได้น้อมเกล้าฯ ถวายมาดำเนินการพัฒนาให้เกิดประโยชน์แก่ชุมชนอัมพวา เพื่อสืบสานภูมิปัญญาชาวบ้านและอนุรักษ์วิถีการดำเนินชีวิตของชาวอัมพวา และด้วยที่ """"ชุมชนอัมพวา"""" เป็นชุมชนที่มีประวัติศาสตร์ยาวนานที่เกี่ยวข้องกับความเป็นชาติไทย ซึ่งอนุชนคนรุ่นหลังสามารถหวนรำลึกและมองย้อนเห็นภาพอดีตอันรุ่งเรืองถึงความเป็นชุมชนที่มีวัฒนธรรม และประเพณีที่งดงามที่สะท้อนความเป็นไทยได้อย่างน่าภาคภูมิใจ

โครงการ """"อัมพวา ชัยพัฒนานุรักษ์""""  แบ่งพื้นที่ออกเป็นส่วนต่าง ๆ ประกอบด้วย ภูมิสังคมและพระราชดำริเศรษฐกิจพอเพียง สวนสาธิตการเกษตรเพื่อการเรียนรู้ อาทิ สวนมะพร้าวและพืชต่าง ๆ ร้านค้าชุมชน ลานวัฒนธรรม นาคะ วะรังค์ ลานสำหรับจัดกิจกรรมและจำหน่ายของที่ระลึกจากชาวอัมพวา ร้านกาแฟอายุกว่า 200 ปี พิพิธภัณฑ์พื้นบ้านอัมพวา เป็นพิพิธภัณฑ์ที่แสดงสิ่งของเครื่องใช้สมัยโบราณที่ค้นพบในอำเภออัมพวา ร้านชานชาลา จำหน่ายเครื่องดื่มและของว่าง บ้านครูเอื้อ แสดงนิทรรศการประวัติและผลงาน รวมทั้งข้าวของเครืองใช้ของครูเอื้อ สุนทรสนาน  หรือสุนทราภรณ์
","13.42690,99.95563",13.4269,99.95563
วัดสวนหลวง,Wat Suan Luang,อยู่ริมแม่น้ำแม่กลอง ใกล้วัดบางนางลีใหญ่ อำเภออัมพวา,50 หมู่ 1,ภาคกลาง,,อัมพวา,สมุทรสงคราม,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ชุมชนโบราณ/โบราณสถาน/โบราณวัตถุ,08.00   17.00 น.,"ด้านหน้าวัดติดริมฝั่ง แม่น้ำแม่กลอง เป็นวัดเก่าแก่โบราณสมัยกรุงศรีอยุธยาตอนปลาย สันนิฐานว่า เชื้อพระวงศานุวงศ์ เป็นผู้สร้างวัดนี้ขึ้นมา อีกก็ว่า เป็นพระยาในสมัยนั้นเป็นผู้สร้าง จึงไม่เป็นที่แน่ชัดว่า ผู้ใดเป็นผู้สร้างวัดนี้ขึ้น จากหลักฐานของกองพุทธศาสนาบันทึกไว้ว่า ได้ตั้งเป็นวัดเมื่อปี พ.ศ. ๒๒๔๕
ร่วมอายุของวัดนี้แล้ว ๓๐๐ ปีเศษ จึงทำให้ถาวรวัตถุในวัดหลายๆชิ้นที่เหลืออยู่ในปัจจุบัน เป็นสิ่งที่ยืนยังได้ ถึงความเก่าแก่ของวัดสวนหลวง แห่งนี้ ไม่ว่าจะเป็น หลวงพ่อจักรนารายณ์ พระพุทธรูปโบราณปูนปั้น ที่มีความศักดิ์สิทธิ์ ที่ประดิษฐ์สถานอยู่ในอุโบสถ เจดีย์โบราณสมัยกรุงศรี อยุธยาตอนปลาย ที่ตั้งอยู่ข้างอุโบสถ กุฏิสงฆ์ที่สร้างในสมัยรัชการที่ ๕ แห่งเดียวในจังหวัดสมุทรสงคราม พระพุทธรูปโบราณอีกจำนวนหนึ่งซึ่งทางวัดได้เก็บรักษาไว้จนถึงปัจจุบัน นอกจากนั้นยังมีสิ่งศักดิ์สิทธิ์ที่เล่าขานกันมาจนถึงปัจจุบันอีกหลายอย่าง อาทิเช่น พี่จุก กุมารเทพ ที่มีความศักดิ์สิทธิ์ โด่งดังไปทั่วโลก และน้ำศักดิ์สิทธิ์ จากตอต้นมะม่วงที่มีน้ำขังอยู่ ตลอดเวลา ชาวบ้านเชื่อกันว่าน้ำนั้นรักษาได้ทุกโรค แต่เนื่อง จากมีกลุ่มคนบางกลุ่มได้หาผลประโยชน์ จึงทำให้ น้ำในบ่อเหือดแห้งไปปัจจุบันบ่อน้ำศักดิ์ได้เป็นที่ตั้งของศาลาการเปรียญในปัจจุบัน","13.4152255, 99.9575778999999",13.4152255,99.9575779
วัดบางกุ้ง,Wat Bang Kung,ตั้งอยู่ในเขตตำบลบางกุ้ง อำเภอบางคนที จังหวัดสมุทรสงคราม,หมู่ 4,ภาคกลาง,,บางคนที,สมุทรสงคราม,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ประวัติความเป็นมา,ทุกวัน 07:00 18:00 น.,"วัดบางกุ้ง เป็นวัดเก่าแก่ที่สร้างขึ้นตั้งแต่สมัยกรุงศรีอยุธยาเป็นราชธานี มีจุดเด่นที่พระอุโบสถ ซึ่งเป็นโบสถ์เก่าแก่ ถูกปกคลุมทั้งอาคารด้วยรากของต้นโพธิ์ ต้นกร่าง ต้นไกร จนได้รับยกให้เป็นอันซีนแห่งหนึ่งในจังหวัดสมุทรสงคราม พระอุโบสถเป็นอาคารเครื่องก่ออิฐถือปูน ไม่มีช่อฟ้า ใบระกา ตามแบบวัดไทยทั่วๆไป ที่มักเป็นเครื่องลำยอง ภายในโบสถ์เป็นที่สถิตของ ""หลวงพ่อนิลมณี"" หรือ ""หลวงพ่อดำ"" ตามที่ชาวบ้านเรียกกัน ซึ่งเป็นพระพุทธรูปทรงปางมารวิชัยขนาดใหญ่ สมัยอยุธยาตอนปลาย นอกจากนี้ภายในยังมีภาพจิตรกรรมฝาผนัง ซึ่งเป็นเรื่องราวเกี่ยวกับพุทธประวัติ ดแห่งนี้ยังมีจุดเด่นที่มีรูปปั้นนักมวยไทยเป็นจำนวนมาก เช่นเดียวกับเครื่องบินเก่าตั้งโชว์ และยังมีสวนสัตว์ขนาดเล็กๆ ที่มีทั้งกรงอูฐ กวาง ม้า ตั้งอยู่ริมท่าน้ำวัดบางกุ้งอีกด้วย   ","13.4461111, 99.9411111",13.4461111,99.9411111
วัดศรัทธาธรรม (วัดมอญ),Wat Satthatham (Wat Mon),ตั้งอยู่ที่ตำบลบางจะเกร็ง อำเภอเมืองสมุทรสงครามระหว่างทางไปดอนหอยหลอด  ใกล้สะพานสมเด็จพระพุทธเลิศหล้านภาลัย,,ภาคกลาง,,เมืองสมุทรสงคราม,สมุทรสงคราม,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ศาสนสถาน (วัด/โบสถ์/มัสยิด ฯลฯ),ทุกวัน 08.00 18.00 น.,"เป็นวัดที่สร้างขึ้นจากแรงศรัทธาของชุมชนมอญ (สังเกตุได้จากเสาหงและธงตะขาบแสดงถึงความเป็นพุทธศาสนิกชนของชุมชนมอญ ตำบลบางจะเกร็ง) เป็นวัดที่พระอุโบสถทำจากไม้สักทองฝังด้วยมุกทรงสำเภา และจุดเด่นของอุโบสถหลังนี้คือผนังด้านในของอุโบสถฝังมุกทั้งหลัง ภายในเป็นภาพพุทธประวัติภาพรามเกียรติ์ ประดิษฐานพระพุทธรูปจำลองหลายองค์ พระประธานเป็นรูปหล่อพระพุทธชินราช นอกจากนี้ยังมีรูปหล่อหลวงพ่อบ้านแหลม หลวงปู่ทวดเหยียบน้ำทะเลจืด เป็นที่สักการะของชาวสมุทรสงคราม และจังหวัดใกล้เคียง สร้างโดยพระครูสมุทรวิสุทธิวงศ์ (อดีตเจ้าอาวาส) สร้างเมื่อปี พ.ศ. 2535 แทนที่อุโบสถหลังเก่า นอกจากนี้เขื่อนบริเวณหน้าวัดยังเป็นจุด ชมทัศนียภาพปากอ่าวแม่กลองได้อย่างสวยงาม

บริเวณวัดมีกาละแมรามัญจำหน่าย โดยกลุ่มแม่บ้านรามัญพัฒนา เป็นขนมขึ้นชื่อมีรสชาติ หวาน มัน ห่อด้วยกาบหมาก ชมสาธิตกวนกาละแมในกะทะใบใหญ่ ","13.378422850405453, 99.99419948180851",13.37842285,99.99419948
สวนมะนาวโห่ลุงศิริ,,ใกล้กับอาสนวิหารแม่พระบังเกิด ตลาดเก่าบางนกแขวก และวัดเจริญสุขาราม,29/2 หมู่ 2 ,ภาคกลาง,บางนกแขวก,บางคนที,สมุทรสงคราม,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,ไร่/สวนเกษตร (ฟาร์มสัตว์/ประมง),09.00 17.00 น.  ปิดวันพฤหัสบดี,แหล่งท่องเที่ยวเชิงเกษตร จากการปลูกมะม่วงหาวมะนาวโห่แบบเกษตรอินทรีย์ เพื่อรองรับคณะศึกษาดูงานด้านเกษตรอินทรีย์ การแปรรูปผลิตภัณฑ์จากมะนาวโห่ กิจกรรมชมสวนมะนาวโห่ สาธิตการทำแยม และน้ำพริมมะนาวโห่ เป็นต้น แวะถ่ายภาพกับคาเฟ่ sirisompong farm &amp; cafe พร้อมชิมเมนูสมูมตี้มะนาวโห่ เมนูพิเศษของร้าน **การเข้าชมหรือศึกษาดูงานควรโทรจองก่อนล่วงหน้า กรณีนักท่องเที่ยวหรือผู้สนใจเข้าชมเป็นหมู่คณะ ทางสวนมะนาวโห่ลุงศิริสามารถ จัดการบรรยายและกิจกรรม workshop ให้กับผู้ที่สนใจเข้าชมได้ ดังนี้ 1. การบรรยาย ซึ่งมีหัวข้อในการบรรยายดังต่อไปนี้   ความรู้ทั่วไปเกี่ยวกับมะม่วงหาวมะนาวโห่   ประวัติความเป็นมาของสวนมะนาวโห่ลุงศิริ   การทำธุรกิจเกษตรในยุคปัจจุบัน   การใช้สื่อสังคมออนไลน์กับการทำเกษตร 2. กิจกรรมในสวน และ กิจกรรม Workshop   การทำน้ำมะม่วงหาวมะนาวโห่สมูทตี้   การทำผ้ามัดย้อมจากสีธรรมชาติของมะม่วงหาวมะนาวโห่   การทำเมนูขนมจากมะม่วงหาวมะนาวโห่,"13.5039003, 99.9184307",13.5039003,99.9184307
วิลล่าประวัติศาสตร์ขุนวิเชียรพานิช,khunvichienpanich,ตั้งอยู่ในอำเภอเมืองจังหวัดเพชรบุรี,1,ภาคกลาง,คลองกระแชง,เมืองเพชรบุรี,เพชรบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ชุมชนโบราณ/โบราณสถาน/โบราณวัตถุ,07.00 16.30 (ติดต่อล่วงหน้า),อาคารสถาปัตยกรรมตะวันตกริมแม่น้ำเพชรบุรีของขุนวิเชียรพานิช (วิเชียร ประจวบเหมาะ) และนางร่าย ประจวบเหมาะ ในปัจจุบันได้ถูกจัดทำให้เป็น บ้านพักกึ่งพิพิธภัณฑ์มีชีวิตขนาดเล็ก (Mini living museum) มิใช่เป็นแค่เพียงอาคารที่ได้รับการบูรณะเพื่อเป็นที่เก็บสมบัติเก่าอย่างไร้รากเหง้า และความเป็นมา หากแต่ว่า ยังมุ่งเน้นที่จะหลอมรวมเชื่อมโยงเรื่องราวต่างๆ ในประวัติ ศาสตร์ ของผู้คนในสกุล ประจวบเหมาะ ในอดีตที่เคยอยู่อาศัยในบ้านหลังนี้ ทั้งวิถีชีวิต หน้าที่การงาน คุณงาม ความดี และการทำประโยชน์ อย่างมากมายให้กับประเทศชาติและจังหวัดเพชรบุรี มาอย่างช้านาน อย่างที่ไม่เคยมีผู้ใดทราบความเป็นมามาก่อน เราจึงเป็นมากกว่าอาคารและสถานที่สวยงาม ขุนวิเชียรพานิช (วิเชียร ประจวบเหมาะ) พ่อค้าและคหบดีผู้มีชื่อเสียงเป็นที่นิยมนับถือ และรักใคร่ ของบรรดาข้าราชการพ่อค้าคหบดีและประชาชน ในจังหวัดเพชรบุรี โดยขุนวิเชียรพานิชได้รับเกียรติได้รับการแต่งตั้งให้เป็น นายกเทศมนตรีคนแรกของจังหวัดเพชรบุรี เป็น ผู้จัดการบริษัทพาณิชย์จังหวัด เป็น ผู้กำกับลูกเสือ ทั้งขุนวิเชียรพานิช และนางร่าย ประจวบเหมาะ มีกิจการการค้าขายมากมายถือเป็นคหบดีของจังหวัดเพชรบุรีที่ได้ทำประโยชน์ ให้แก่ผู้คนและจังหวัดเป็นอย่างมาก ดังนี้ โรงสีไฟซ่งเต็กฮวด (โรงงานผลิตไฟฟ้า)ที่ได้รับสัมปทานจากรัฐบาล โรงสีข้าวซุนเต๊กฮวด (ภายหลังเปลี่ยนชื่อเป็น ไพบูลพานิช) ตั้งอยู่บริเวณสะพานรถไฟ ริมแม่น้ำเพชรบุรี ฝั่งตรงข้ามกับจวนผู้ว่าจังหวัดเพชรบุรี ร้านวิเชียรพานิช ขายสินค้าอุปโภคบริโภคอยู่บน ถนนพานิชเจริญ ร้านสังฆภัณฑ์ โรงน้ำแข็ง ตัวแทนขายน้ำมันสามทหาร . . การเข้าชมวิลล่าประวัติศาสตร์ขุนวิเชียรพานิช มี ๔ ช่องทางดังนี้คือ สำหรับประชาชนทั่วไปเพื่อการท่องเที่ยวเชิงอนุรักษ์ ๑. การเข้าชมลักษณะ Day Trip โดยทีมงานรัตนโกสิเนหา ในช่วงวันหยุดเสาร์ อาทิตย์ ตามแต่ทีมงานกำหนดแผนการท่องเที่ยวในเส้นทาง  พราวเพชรบุรี  ช่องทางการติดต่อ Facebook page รัตนโกสิเนหา Rattanakosineha ๒. การเข้าชมลักษณะนัดหมายล่วงหน้าแบบเป็นกลุ่มเล็ก จำนวนไม่เกิน ๑๐ ๑๒ คน โดยผ่านทีมงาน Local Tour ในจังหวัดเพชรบุรี ที่มีวิทยากรท้องถิ่นนำเข้ามาเยี่ยมชมในช่วงวันหยุดเสาร์ อาทิตย์ ตามเวลาที่ทางวิลล่าประวัติศาสตร์ขุนวิเชียรพานิช และทีมงานในท้องถิ่นกำหนดร่วมกันเท่านั้น ช่องทางการติดต่อ Facebook page กลุ่มลูกหว้า เพชรบุรี หรือ Chumlong Buasuwan (อจ.จำลอง บัวสุวรรณ) ๐๘๑ ๒๙๐๘๐๙๑ สำหรับกลุ่ม นักเรียน นิสิต นักศึกษา และสถาบันต่างๆ (จำกัดจำนวนผู้เข้าชม) ๓. การเข้าชมแบบนัดหมายล่วงหน้า สำหรับ กลุ่มนักเรียน นิสิตนักศึกษา สถาบัน และกลุ่มอื่นๆ ที่มีความสนใจจะศึกษาเกี่ยวกับประวัติศาสตร์ และความเป็นมาทางด้านสถาปัตยกรรม ของวิลล่าประวัติศาสตร์ขุนวิเชียรพานิช จังหวัดเพชรบุรี (มีเอกสารยืนยันจากต้นสังกัดและมีอาจารย์ควบคุม) เปิดรับ ๒ รอบ คือรอบเช้าและบ่าย ในทุกวันศุกร์ (ทางผู้ดำเนินการขอสงวนสิทธิ์พิจารณาตามความเหมาะสมเป็นกรณีไปในเรื่องของค่าเข้าชม เวลา และจำนวนผู้เข้าชม),"13.103091, 99.9484966",13.103091,99.9484966
วัดเขาตะเครา,Khao Takhrao Temple,วัดเขาตะเครา ตั้งอยู่ริมคลองบางครก ซึ่งแยกจากแม่น้ำเพชรบุรี ที่ตำบลบางครก อำเภอบ้านแหลม จังหวัดเพชรบุรี  อยู่ติดกับโรงเรียนวัดเขาตะเครา,,ภาคกลาง,,บ้านแหลม,เพชรบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ชุมชนโบราณ/โบราณสถาน/โบราณวัตถุ,"ทุกวัน 06.00 17.00 น.
",หลวงพ่อเขาตะเครา คือ พระพุทธรูปปางมารวิชัย สูง 29 นิ้ว หน้าตักกว้าง 21 นิ้ว มีประวัติว่าหลวงพ่อเขาตะเครา เป็นพระพี่พระน้อง 3 องค์ กับหลวงพ่อโสธร จังหวัดฉะเชิงเทรา หลวงพ่อบ้านแหลม จังหวัดสมุทรสงคราม (บางตำราว่าเป็นพี่น้องกันถึง 5 องค์ เพิ่ม หลวงพ่อบางพลีใหญ่ และหลวงพ่อวัดไร่ขิงที่นครปฐม เข้าไปด้วย) ประวัติของพระพุทธรูปองค์นี้มีบันทึกไว้ในปลายสมัยอยุธยา ขณะที่ชาวบ้านแหลม เมืองเพชร หนีพม่าไปตั้งหลักแหล่งอยู่ที่ปากน้ำแม่กลอง (บรรพบุรุษของชาวสมุทรสงครามในปัจจุบัน) วันหนึ่งมีชาวประมงบ้านแหลมได้ออกไปตีอวนที่ปากอ่าว จนติดได้พระพุทธรูปขึ้นมา 2 องค์ องค์หนึ่งเป็นพระยืนปางอุ้มบาตร อีกองค์หนึ่งเป็นพระปางมารวิชัย ชาวบ้านแหลมนำพระยืนไปประดิษฐานที่วัดบ้านแหลม ปัจจุบันนี้คือ วัดเพชรสมุทรวิหาร กลางเมืองสมุทรสงคราม ส่วนอีกองค์มอบให้ญาติชาวบางตะบูนนำมาประดิษฐานที่ วัดเขาตะเครา อำเภอบ้านแหลม จังหวัดเพชรบุรี จนถึงปัจจุบัน,"13.2175, 99.9361110999999",13.2175,99.9361111
วัดใหญ่สุวรรณาราม,Yai Suwannaram Temple,อยู่ที่ถนนพงษ์สุริยา ตำบลท่าราบ อำเภอเมืองเพชรบุรี ห่างจากศาลากลางจังหวัดเพชรบุรีประมาณ 1 กิโลเมตร ,88,ภาคกลาง,คลองกระแชง,เมืองเพชรบุรี,เพชรบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ชุมชนโบราณ/โบราณสถาน/โบราณวัตถุ,"ทุกวัน 07.00 18.00 น.
",วัดใหญ่สุวรรณาราม หรือ  วัดใหญ่  เป็นพระอารามหลวงชั้นตรีชนิดวรวิหาร เดิมชื่อว่า  วัดน้อยปักษ์ใต้  เป็นวัดเก่าแก่และสำคัญมากของจังหวัดเพชรบุรี สร้างขึ้นตั้งแต่สมัยกรุงศรีอยุธยา และได้มีการบูรณะในสมัยพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว เป็นแหล่งรวมฝีมืองานช่างที่ปราณีตงดงามของชาวเพชรบุรีไว้มากมาย โดยเฉพาะภาพจิตรกรรมฝาผนังในโบสถ์ อย่างภาพเทพชุมนุมศิลปะในยุคอยุธยาจากฝีมือช่างเมืองเพชร ด้วยความเก่าแก่และงดงามทำให้วัดใหญ่สุวรรณรามถูกใช้เป็นฉากในภาพยนตร์หลายเรื่อง นอกจากนี้ภายในวัดยังมีศาลาการเปรียญที่เป็นพระตำหนักไม้สักทั้งหลัง ว่ากันว่าพระเจ้าเสือแห่งกรุงศรีอยุธยา ทรงพระราชทานแด่พระสังฆราชชาวเพชรบุรี โดยศาลาการเปรียญนี้มีการแกะสลักไม้ที่สวยงาม โดยเฉพาะบานประตูสลักลายก้านขดปิดทอง และธรรมาสน์เทศน์ซึ่งแกะสลักลงรักปิดทอง รูปทรงเป็นบุษบกที่งดงามและสมบูรณ์ ส่วนบนผนังภายในพระอุโบสถมีภาพเขียนเทพชุมนุม จุดที่น่าสนใจอีกอย่างคือการได้สักการะพระประธานในโบสถ์และพระพุทธรูปที่มีนิ้วเท้า 6 นิ้ว ซึ่งตั้งอยู่ด้านหลังองค์พระประธาน รวมถึงไฮไลท์อีกจุดที่ต้องแวะชมคือประตูศาลาการเปรียญเก่าแก่ ที่มีร่องรอยโดนทหารพม่าฟันจนประตูทะลุ,"13.1090569, 99.9533429",13.1090569,99.9533429
สำนักสงฆ์พุน้ำร้อน,,อำเภอบ้านคา จังหวัดราชบุรี,,ภาคกลาง,,บ้านคา,ราชบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ศาสนสถาน (วัด/โบสถ์/มัสยิด ฯลฯ),,สำนักสงฆ์พุน้ำร้อนตั้งอยู่บนเนินเขาริมอ่างเก็บน้ำห้วยท่าเคย ต.บ้านบึง อ.บ้านคา จ.ราชบุรี ที่มีอุโบสถ์สีขาวกรุด้วยเปลือกหอยทะเลสีขาวทั้งหลัง ทุกรายละเอียดมีการแตกแต่งสวยงาม และที่นี่เป็นจุดชุมวิวอ่างเก็บน้ำท่าเคยที่ดีจุดหนึ่งที่แนะนำ ถัดมาไม่ไกลจะมีบ่อน้ำพุร้อนโป่งกระทิง บ่อน้ำพุร้อนธรรมชาติสามารถแช่อาบผ่อนคลายเพื่อสุขภาพ,"13.2673272, 99.4206057",13.2673272,99.4206057
